github repo,cve vendor,cve product,cve ids
FFmpeg/FFmpeg,ffmpeg,ffmpeg,CVE-2005-4048 CVE-2006-4800 CVE-2008-3162 CVE-2008-4866 CVE-2008-4867 CVE-2008-4868 CVE-2008-4869 CVE-2009-0385 CVE-2009-4631 CVE-2009-4632 CVE-2009-4633 CVE-2009-4634 CVE-2009-4635 CVE-2009-4636 CVE-2009-4637 CVE-2009-4638 CVE-2009-4639 CVE-2009-4640 CVE-2010-3429 CVE-2010-3908 CVE-2010-4704 CVE-2010-4705 CVE-2011-0722 CVE-2011-0723 CVE-2011-1931 CVE-2011-2160 CVE-2011-2161 CVE-2011-2162 CVE-2011-3362 CVE-2011-3504 CVE-2011-3929 CVE-2011-3934 CVE-2011-3935 CVE-2011-3936 CVE-2011-3937 CVE-2011-3940 CVE-2011-3941 CVE-2011-3944 CVE-2011-3945 CVE-2011-3946 CVE-2011-3947 CVE-2011-3949 CVE-2011-3950 CVE-2011-3951 CVE-2011-3952 CVE-2011-3973 CVE-2011-3974 CVE-2011-4031 CVE-2011-4351 CVE-2011-4352 CVE-2011-4353 CVE-2011-4364 CVE-2011-4579 CVE-2012-0847 CVE-2012-0848 CVE-2012-0849 CVE-2012-0850 CVE-2012-0851 CVE-2012-0852 CVE-2012-0853 CVE-2012-0854 CVE-2012-0855 CVE-2012-0856 CVE-2012-0857 CVE-2012-0858 CVE-2012-0859 CVE-2012-2771 CVE-2012-2772 CVE-2012-2773 CVE-2012-2774 CVE-2012-2775 CVE-2012-2776 CVE-2012-2777 CVE-2012-2778 CVE-2012-2779 CVE-2012-2780 CVE-2012-2781 CVE-2012-2782 CVE-2012-2783 CVE-2012-2784 CVE-2012-2785 CVE-2012-2786 CVE-2012-2787 CVE-2012-2788 CVE-2012-2789 CVE-2012-2790 CVE-2012-2791 CVE-2012-2792 CVE-2012-2793 CVE-2012-2794 CVE-2012-2795 CVE-2012-2796 CVE-2012-2797 CVE-2012-2798 CVE-2012-2799 CVE-2012-2800 CVE-2012-2801 CVE-2012-2802 CVE-2012-2803 CVE-2012-2804 CVE-2012-2805 CVE-2012-5359 CVE-2012-5360 CVE-2012-5361 CVE-2012-6615 CVE-2012-6616 CVE-2012-6617 CVE-2012-6618 CVE-2013-0844 CVE-2013-0845 CVE-2013-0846 CVE-2013-0847 CVE-2013-0848 CVE-2013-0849 CVE-2013-0850 CVE-2013-0851 CVE-2013-0852 CVE-2013-0853 CVE-2013-0854 CVE-2013-0855 CVE-2013-0856 CVE-2013-0857 CVE-2013-0858 CVE-2013-0859 CVE-2013-0860 CVE-2013-0861 CVE-2013-0862 CVE-2013-0863 CVE-2013-0864 CVE-2013-0865 CVE-2013-0866 CVE-2013-0867 CVE-2013-0868 CVE-2013-0869 CVE-2013-0870 CVE-2013-0872 CVE-2013-0873 CVE-2013-0874 CVE-2013-0875 CVE-2013-0876 CVE-2013-0877 CVE-2013-0878 CVE-2013-0894 CVE-2013-2276 CVE-2013-2277 CVE-2013-2495 CVE-2013-2496 CVE-2013-3670 CVE-2013-3671 CVE-2013-3672 CVE-2013-3673 CVE-2013-3674 CVE-2013-3675 CVE-2013-4263 CVE-2013-4264 CVE-2013-4265 CVE-2013-4358 CVE-2013-7008 CVE-2013-7009 CVE-2013-7010 CVE-2013-7011 CVE-2013-7012 CVE-2013-7013 CVE-2013-7014 CVE-2013-7015 CVE-2013-7016 CVE-2013-7017 CVE-2013-7018 CVE-2013-7019 CVE-2013-7020 CVE-2013-7021 CVE-2013-7022 CVE-2013-7023 CVE-2013-7024 CVE-2014-125002 CVE-2014-125003 CVE-2014-125004 CVE-2014-125005 CVE-2014-125006 CVE-2014-125007 CVE-2014-125008 CVE-2014-125009 CVE-2014-125010 CVE-2014-125011 CVE-2014-125012 CVE-2014-125013 CVE-2014-125014 CVE-2014-125015 CVE-2014-125016 CVE-2014-125017 CVE-2014-125018 CVE-2014-125019 CVE-2014-125020 CVE-2014-125021 CVE-2014-125022 CVE-2014-125023 CVE-2014-125024 CVE-2014-125025 CVE-2014-2097 CVE-2014-2098 CVE-2014-2099 CVE-2014-2263 CVE-2014-4610 CVE-2014-5271 CVE-2014-5272 CVE-2014-7933 CVE-2014-7937 CVE-2014-8541 CVE-2014-8542 CVE-2014-8543 CVE-2014-8544 CVE-2014-8545 CVE-2014-8546 CVE-2014-8547 CVE-2014-8548 CVE-2014-8549 CVE-2014-9316 CVE-2014-9317 CVE-2014-9318 CVE-2014-9319 CVE-2014-9602 CVE-2014-9603 CVE-2014-9604 CVE-2014-9676 CVE-2015-1208 CVE-2015-1872 CVE-2015-3395 CVE-2015-3417 CVE-2015-6761 CVE-2015-6818 CVE-2015-6819 CVE-2015-6820 CVE-2015-6821 CVE-2015-6822 CVE-2015-6823 CVE-2015-6824 CVE-2015-6825 CVE-2015-6826 CVE-2015-8216 CVE-2015-8217 CVE-2015-8218 CVE-2015-8219 CVE-2015-8363 CVE-2015-8364 CVE-2015-8365 CVE-2015-8661 CVE-2015-8662 CVE-2015-8663 CVE-2016-10190 CVE-2016-10191 CVE-2016-10192 CVE-2016-1897 CVE-2016-1898 CVE-2016-2213 CVE-2016-2326 CVE-2016-2327 CVE-2016-2328 CVE-2016-2329 CVE-2016-2330 CVE-2016-2839 CVE-2016-3062 CVE-2016-6164 CVE-2016-6671 CVE-2016-6881 CVE-2016-6920 CVE-2016-7122 CVE-2016-7450 CVE-2016-7502 CVE-2016-7555 CVE-2016-7562 CVE-2016-7785 CVE-2016-7905 CVE-2016-8595 CVE-2016-9561 CVE-2017-1000460 CVE-2017-11399 CVE-2017-11665 CVE-2017-11719 CVE-2017-14054 CVE-2017-14055 CVE-2017-14056 CVE-2017-14057 CVE-2017-14058 CVE-2017-14059 CVE-2017-14169 CVE-2017-14170 CVE-2017-14171 CVE-2017-14222 CVE-2017-14223 CVE-2017-14225 CVE-2017-14767 CVE-2017-15186 CVE-2017-15672 CVE-2017-16840 CVE-2017-17081 CVE-2017-17555 CVE-2017-7859 CVE-2017-7862 CVE-2017-7863 CVE-2017-7865 CVE-2017-7866 CVE-2017-9608 CVE-2017-9990 CVE-2017-9991 CVE-2017-9992 CVE-2017-9993 CVE-2017-9994 CVE-2017-9995 CVE-2017-9996 CVE-2018-10001 CVE-2018-12458 CVE-2018-12459 CVE-2018-12460 CVE-2018-13300 CVE-2018-13301 CVE-2018-13302 CVE-2018-13303 CVE-2018-13304 CVE-2018-13305 CVE-2018-14394 CVE-2018-14395 CVE-2018-15822 CVE-2018-1999010 CVE-2018-1999011 CVE-2018-1999012 CVE-2018-1999013 CVE-2018-1999014 CVE-2018-1999015 CVE-2018-6392 CVE-2018-6621 CVE-2018-6912 CVE-2018-7557 CVE-2018-7751 CVE-2018-9841 CVE-2019-1000016 CVE-2019-11338 CVE-2019-11339 CVE-2019-12730 CVE-2019-13312 CVE-2019-13390 CVE-2019-15942 CVE-2019-17539 CVE-2019-17542 CVE-2019-9718 CVE-2019-9721 CVE-2020-12284 CVE-2020-13904 CVE-2020-14212 CVE-2020-20445 CVE-2020-20446 CVE-2020-20448 CVE-2020-20450 CVE-2020-20451 CVE-2020-20453 CVE-2020-20891 CVE-2020-20892 CVE-2020-20896 CVE-2020-20898 CVE-2020-20902 CVE-2020-21041 CVE-2020-21688 CVE-2020-21697 CVE-2020-22015 CVE-2020-22016 CVE-2020-22017 CVE-2020-22019 CVE-2020-22020 CVE-2020-22021 CVE-2020-22022 CVE-2020-22023 CVE-2020-22024 CVE-2020-22025 CVE-2020-22026 CVE-2020-22027 CVE-2020-22028 CVE-2020-22029 CVE-2020-22030 CVE-2020-22031 CVE-2020-22032 CVE-2020-22033 CVE-2020-22034 CVE-2020-22035 CVE-2020-22036 CVE-2020-22037 CVE-2020-22038 CVE-2020-22039 CVE-2020-22040 CVE-2020-22041 CVE-2020-22042 CVE-2020-22043 CVE-2020-22044 CVE-2020-22046 CVE-2020-22048 CVE-2020-22049 CVE-2020-22051 CVE-2020-22054 CVE-2020-22056 CVE-2020-23906 CVE-2020-24020 CVE-2020-24995 CVE-2020-35964 CVE-2020-35965 CVE-2020-36138 CVE-2021-28429 CVE-2021-30123 CVE-2021-33815 CVE-2021-3566 CVE-2021-38090 CVE-2021-38091 CVE-2021-38092 CVE-2021-38093 CVE-2021-38094 CVE-2021-38114 CVE-2021-38171 CVE-2021-38291 CVE-2022-1475 CVE-2022-2566
grpc/grpc,grpc,grpc,CVE-2017-7860 CVE-2017-7861 CVE-2017-8359 CVE-2017-9431 CVE-2020-7768
nwjs/nw.js,nwjs,nw.js,CVE-2014-9733
apache/spark,apache,spark,CVE-2017-12612 CVE-2017-7678 CVE-2018-11760 CVE-2018-11770 CVE-2018-11804 CVE-2018-1334 CVE-2018-17190 CVE-2018-8024 CVE-2019-10099 CVE-2019-10172 CVE-2019-20445 CVE-2020-27218 CVE-2020-27223 CVE-2020-9480 CVE-2021-38296
ClickHouse/ClickHouse,clickhouse,clickhouse,CVE-2018-14668 CVE-2018-14669 CVE-2018-14670 CVE-2018-14671 CVE-2018-14672 CVE-2019-15024 CVE-2019-16535 CVE-2019-16536 CVE-2019-18657 CVE-2021-42387 CVE-2021-42388 CVE-2021-42389 CVE-2021-42390 CVE-2021-42391 CVE-2021-43304 CVE-2021-43305
vim/vim,vim,vim,CVE-2008-2712 CVE-2008-3074 CVE-2008-3075 CVE-2008-3076 CVE-2008-3294 CVE-2008-3432 CVE-2008-4101 CVE-2008-4677 CVE-2008-6235 CVE-2009-0316 CVE-2016-1248 CVE-2017-1000382 CVE-2017-11109 CVE-2017-17087 CVE-2017-5953 CVE-2017-6349 CVE-2017-6350 CVE-2019-12735 CVE-2019-20079 CVE-2019-20807 CVE-2020-20703 CVE-2021-3236 CVE-2021-3770 CVE-2021-3778 CVE-2021-3796 CVE-2021-3872 CVE-2021-3875 CVE-2021-3903 CVE-2021-3927 CVE-2021-3928 CVE-2021-3968 CVE-2021-3973 CVE-2021-3974 CVE-2021-3984 CVE-2021-4019 CVE-2021-4069 CVE-2021-4136 CVE-2021-4166 CVE-2021-4173 CVE-2021-4187 CVE-2021-4192 CVE-2021-4193 CVE-2022-0128 CVE-2022-0156 CVE-2022-0158 CVE-2022-0213 CVE-2022-0261 CVE-2022-0318 CVE-2022-0319 CVE-2022-0351 CVE-2022-0359 CVE-2022-0361 CVE-2022-0368 CVE-2022-0392 CVE-2022-0393 CVE-2022-0407 CVE-2022-0408 CVE-2022-0413 CVE-2022-0417 CVE-2022-0443 CVE-2022-0554 CVE-2022-0572 CVE-2022-0629 CVE-2022-0685 CVE-2022-0696 CVE-2022-0714 CVE-2022-0729 CVE-2022-0943 CVE-2022-1154 CVE-2022-1160 CVE-2022-1381 CVE-2022-1420 CVE-2022-1616 CVE-2022-1619 CVE-2022-1620 CVE-2022-1621 CVE-2022-1629 CVE-2022-1674 CVE-2022-1720 CVE-2022-1725 CVE-2022-1733 CVE-2022-1735 CVE-2022-1769 CVE-2022-1771 CVE-2022-1785 CVE-2022-1796 CVE-2022-1851 CVE-2022-1886 CVE-2022-1897 CVE-2022-1898 CVE-2022-1927 CVE-2022-1942 CVE-2022-1968 CVE-2022-2000 CVE-2022-2042 CVE-2022-2124 CVE-2022-2125 CVE-2022-2126 CVE-2022-2129 CVE-2022-2175 CVE-2022-2182 CVE-2022-2183 CVE-2022-2206 CVE-2022-2207 CVE-2022-2208 CVE-2022-2210 CVE-2022-2231 CVE-2022-2257 CVE-2022-2264 CVE-2022-2284 CVE-2022-2285 CVE-2022-2286 CVE-2022-2287 CVE-2022-2288 CVE-2022-2289 CVE-2022-2304 CVE-2022-2343 CVE-2022-2344 CVE-2022-2345 CVE-2022-2522 CVE-2022-2571 CVE-2022-2580 CVE-2022-2581 CVE-2022-2598 CVE-2022-2816 CVE-2022-2817 CVE-2022-2819 CVE-2022-2845 CVE-2022-2849 CVE-2022-2862 CVE-2022-2874 CVE-2022-2889 CVE-2022-2923 CVE-2022-2946 CVE-2022-2980 CVE-2022-2982 CVE-2022-3016 CVE-2022-3037
curl/curl,curl,curl,CVE-2005-3185 CVE-2009-0037 CVE-2010-3842 CVE-2012-0036
netty/netty,netty,netty,CVE-2014-0193 CVE-2014-3488 CVE-2015-2156 CVE-2016-4970 CVE-2019-16869 CVE-2019-20444 CVE-2019-20445 CVE-2020-11612 CVE-2020-7238 CVE-2021-21290 CVE-2021-21295 CVE-2021-21409 CVE-2021-37136 CVE-2021-37137 CVE-2021-43797 CVE-2022-24823
expo/expo,expo,expo,CVE-2020-24653
hasura/graphql-engine,hasura,graphql-engine,CVE-2019-1020015
