CWE-ID,Name,Type,Related Weakness,Parent,Vote,Clippy Helps?
130,Improper Handling of Length Parameter Inconsistency,Base,::NATURE:ChildOf:CWE ID:240:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:119:VIEW ID:1305:ORDINAL:Primary::NATURE:ChildOf:CWE ID:119:VIEW ID:1340:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:805:VIEW ID:1000::,240,Discouraged via Borrow Checker,
131,Incorrect Calculation of Buffer Size,Base,::NATURE:ChildOf:CWE ID:682:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:682:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:682:VIEW ID:1305:ORDINAL:Primary::NATURE:ChildOf:CWE ID:682:VIEW ID:1340:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:119:VIEW ID:1000::,682,,
134,Use of Externally-Controlled Format String,Base,::NATURE:ChildOf:CWE ID:668:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:668:VIEW ID:1003:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:123:VIEW ID:1000::NATURE:ChildOf:CWE ID:20:VIEW ID:700:ORDINAL:Primary::,668,,
135,Incorrect Calculation of Multi-Byte String Length,Base,::NATURE:ChildOf:CWE ID:682:VIEW ID:1000:ORDINAL:Primary::,682,,
140,Improper Neutralization of Delimiters,Base,::NATURE:ChildOf:CWE ID:138:VIEW ID:1000:ORDINAL:Primary::,138,,
166,Improper Handling of Missing Special Element,Base,::NATURE:ChildOf:CWE ID:159:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:228:VIEW ID:1000::,159,,
167,Improper Handling of Additional Special Element,Base,::NATURE:ChildOf:CWE ID:159:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:228:VIEW ID:1000::,159,,
168,Improper Handling of Inconsistent Special Elements,Base,::NATURE:ChildOf:CWE ID:159:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:228:VIEW ID:1000::,159,,
170,Improper Null Termination,Base,::NATURE:ChildOf:CWE ID:707:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:120:VIEW ID:1000::NATURE:CanPrecede:CWE ID:126:VIEW ID:1000::NATURE:CanAlsoBe:CWE ID:147:VIEW ID:1000::NATURE:PeerOf:CWE ID:464:VIEW ID:1000::NATURE:PeerOf:CWE ID:463:VIEW ID:1000::NATURE:ChildOf:CWE ID:20:VIEW ID:700:ORDINAL:Primary::,707,,
178,Improper Handling of Case Sensitivity,Base,::NATURE:ChildOf:CWE ID:706:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:706:VIEW ID:1003:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:433:VIEW ID:1000::NATURE:CanPrecede:CWE ID:289:VIEW ID:1000::,706,,
179,Incorrect Behavior Order: Early Validation,Base,::NATURE:ChildOf:CWE ID:20:VIEW ID:1000::NATURE:ChildOf:CWE ID:696:VIEW ID:1000:ORDINAL:Primary::,20,,
182,Collapse of Data into Unsafe Value,Base,::NATURE:ChildOf:CWE ID:693:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:33:VIEW ID:1000::NATURE:CanPrecede:CWE ID:34:VIEW ID:1000::NATURE:CanPrecede:CWE ID:35:VIEW ID:1000::,693,,
183,Permissive List of Allowed Inputs,Base,::NATURE:ChildOf:CWE ID:697:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:434:VIEW ID:1000::,697,,
184,Incomplete List of Disallowed Inputs,Base,::NATURE:ChildOf:CWE ID:693:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:1023:VIEW ID:1000::NATURE:CanPrecede:CWE ID:79:VIEW ID:1000:CHAIN ID:692::NATURE:CanPrecede:CWE ID:78:VIEW ID:1000::NATURE:CanPrecede:CWE ID:434:VIEW ID:1000::NATURE:CanPrecede:CWE ID:98:VIEW ID:1000::,693,,
186,Overly Restrictive Regular Expression,Base,::NATURE:ChildOf:CWE ID:185:VIEW ID:1000:ORDINAL:Primary::NATURE:CanAlsoBe:CWE ID:184:VIEW ID:1000::NATURE:CanAlsoBe:CWE ID:183:VIEW ID:1000::,185,,
190,Integer Overflow or Wraparound,Base,::NATURE:ChildOf:CWE ID:682:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:682:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:20:VIEW ID:700:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:119:VIEW ID:1000:CHAIN ID:680::,682,,
191,Integer Underflow (Wrap or Wraparound),Base,::NATURE:ChildOf:CWE ID:682:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:682:VIEW ID:1003:ORDINAL:Primary::,682,,
193,Off-by-one Error,Base,::NATURE:ChildOf:CWE ID:682:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:682:VIEW ID:1003:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:617:VIEW ID:1000::NATURE:CanPrecede:CWE ID:170:VIEW ID:1000::NATURE:CanPrecede:CWE ID:119:VIEW ID:1000::,682,,
201,Insertion of Sensitive Information Into Sent Data,Base,::NATURE:ChildOf:CWE ID:200:VIEW ID:1000:ORDINAL:Primary::NATURE:CanAlsoBe:CWE ID:209:VIEW ID:1000::NATURE:CanAlsoBe:CWE ID:202:VIEW ID:1000::,200,,
204,Observable Response Discrepancy,Base,::NATURE:ChildOf:CWE ID:203:VIEW ID:1000:ORDINAL:Primary::,203,"No Help, or Langs Won't Help",
205,Observable Behavioral Discrepancy,Base,::NATURE:ChildOf:CWE ID:203:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:514:VIEW ID:1000::,203,"No Help, or Langs Won't Help",
208,Observable Timing Discrepancy,Base,::NATURE:ChildOf:CWE ID:203:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:385:VIEW ID:1000::NATURE:CanPrecede:CWE ID:327:VIEW ID:1000::,203,"No Help, or Langs Won't Help",
209,Generation of Error Message Containing Sensitive Information,Base,::NATURE:ChildOf:CWE ID:200:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:200:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:755:VIEW ID:1000::,200,,
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,::NATURE:ChildOf:CWE ID:669:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:669:VIEW ID:1003:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:201:VIEW ID:1000:ORDINAL:Primary::,669,,
213,Exposure of Sensitive Information Due to Incompatible Policies,Base,::NATURE:ChildOf:CWE ID:200:VIEW ID:1000:ORDINAL:Primary::,200,,
214,Invocation of Process Using Visible Sensitive Information,Base,::NATURE:ChildOf:CWE ID:497:VIEW ID:1000:ORDINAL:Primary::,497,"No Help, or Langs Won't Help",
215,Insertion of Sensitive Information Into Debugging Code,Base,::NATURE:ChildOf:CWE ID:200:VIEW ID:1000:ORDINAL:Primary::,200,,
222,Truncation of Security-relevant Information,Base,::NATURE:ChildOf:CWE ID:221:VIEW ID:1000:ORDINAL:Primary::,221,,
223,Omission of Security-relevant Information,Base,::NATURE:ChildOf:CWE ID:221:VIEW ID:1000:ORDINAL:Primary::,221,,
224,Obscured Security-relevant Information by Alternate Name,Base,::NATURE:ChildOf:CWE ID:221:VIEW ID:1000:ORDINAL:Primary::,221,,
229,Improper Handling of Values,Base,::NATURE:ChildOf:CWE ID:228:VIEW ID:1000:ORDINAL:Primary::,228,,
233,Improper Handling of Parameters,Base,::NATURE:ChildOf:CWE ID:228:VIEW ID:1000:ORDINAL:Primary::,228,,
237,Improper Handling of Structural Elements,Base,::NATURE:ChildOf:CWE ID:228:VIEW ID:1000:ORDINAL:Primary::,228,,
241,Improper Handling of Unexpected Data Type,Base,::NATURE:ChildOf:CWE ID:228:VIEW ID:1000:ORDINAL:Primary::,228,,
242,Use of Inherently Dangerous Function,Base,::NATURE:ChildOf:CWE ID:1177:VIEW ID:1000:ORDINAL:Primary::,1177,,
243,Creation of chroot Jail Without Changing Working Directory,Variant,::NATURE:ChildOf:CWE ID:573:VIEW ID:1000::NATURE:ChildOf:CWE ID:669:VIEW ID:1000:ORDINAL:Primary::,573,,
248,Uncaught Exception,Base,::NATURE:ChildOf:CWE ID:705:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:755:VIEW ID:1000::NATURE:ChildOf:CWE ID:703:VIEW ID:1305:ORDINAL:Primary::NATURE:ChildOf:CWE ID:703:VIEW ID:1340:ORDINAL:Primary::,705,,
250,Execution with Unnecessary Privileges,Base,::NATURE:ChildOf:CWE ID:269:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:657:VIEW ID:1000::,269,,
252,Unchecked Return Value,Base,::NATURE:ChildOf:CWE ID:754:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:754:VIEW ID:1003:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:476:VIEW ID:1000:CHAIN ID:690::,754,,
253,Incorrect Check of Function Return Value,Base,::NATURE:ChildOf:CWE ID:573:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:754:VIEW ID:1000::,573,,
256,Plaintext Storage of a Password,Base,::NATURE:ChildOf:CWE ID:522:VIEW ID:1000:ORDINAL:Primary::,522,,
257,Storing Passwords in a Recoverable Format,Base,::NATURE:ChildOf:CWE ID:522:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:259:VIEW ID:1000::,522,,
260,Password in Configuration File,Base,::NATURE:ChildOf:CWE ID:522:VIEW ID:1000:ORDINAL:Primary::,522,,
261,Weak Encoding for Password,Base,::NATURE:ChildOf:CWE ID:522:VIEW ID:1000:ORDINAL:Primary::,522,,
262,Not Using Password Aging,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:309:VIEW ID:1000::NATURE:PeerOf:CWE ID:324:VIEW ID:1000::,1390,,
263,Password Aging with Long Expiration,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::,1390,,
266,Incorrect Privilege Assignment,Base,::NATURE:ChildOf:CWE ID:269:VIEW ID:1000:ORDINAL:Primary::NATURE:CanAlsoBe:CWE ID:286:VIEW ID:1000::,269,,
267,Privilege Defined With Unsafe Actions,Base,::NATURE:ChildOf:CWE ID:269:VIEW ID:1000:ORDINAL:Primary::,269,,
268,Privilege Chaining,Base,::NATURE:ChildOf:CWE ID:269:VIEW ID:1000:ORDINAL:Primary::,269,,
270,Privilege Context Switching Error,Base,::NATURE:ChildOf:CWE ID:269:VIEW ID:1000:ORDINAL:Primary::,269,,
272,Least Privilege Violation,Base,::NATURE:ChildOf:CWE ID:271:VIEW ID:1000:ORDINAL:Primary::,271,,
273,Improper Check for Dropped Privileges,Base,::NATURE:ChildOf:CWE ID:754:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:754:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:271:VIEW ID:1000::NATURE:PeerOf:CWE ID:252:VIEW ID:1000::,754,,
274,Improper Handling of Insufficient Privileges,Base,::NATURE:ChildOf:CWE ID:755:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:269:VIEW ID:1000::NATURE:PeerOf:CWE ID:271:VIEW ID:1000::NATURE:CanAlsoBe:CWE ID:280:VIEW ID:1000::,755,,
276,Incorrect Default Permissions,Base,::NATURE:ChildOf:CWE ID:732:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:732:VIEW ID:1003:ORDINAL:Primary::,732,"No Help, or Langs Won't Help",
277,Insecure Inherited Permissions,Variant,::NATURE:ChildOf:CWE ID:732:VIEW ID:1000:ORDINAL:Primary::,732,"No Help, or Langs Won't Help",
278,Insecure Preserved Inherited Permissions,Variant,::NATURE:ChildOf:CWE ID:732:VIEW ID:1000:ORDINAL:Primary::,732,"No Help, or Langs Won't Help",
279,Incorrect Execution-Assigned Permissions,Variant,::NATURE:ChildOf:CWE ID:732:VIEW ID:1000:ORDINAL:Primary::,732,"No Help, or Langs Won't Help",
280,Improper Handling of Insufficient Permissions or Privileges ,Base,::NATURE:ChildOf:CWE ID:755:VIEW ID:1000:ORDINAL:Primary::,755,,
281,Improper Preservation of Permissions,Base,::NATURE:ChildOf:CWE ID:732:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:732:VIEW ID:1003:ORDINAL:Primary::,732,"No Help, or Langs Won't Help",
283,Unverified Ownership,Base,::NATURE:ChildOf:CWE ID:282:VIEW ID:1000:ORDINAL:Primary::,282,,
289,Authentication Bypass by Alternate Name,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::,1390,,
290,Authentication Bypass by Spoofing,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:287:VIEW ID:1003:ORDINAL:Primary::,1390,,
294,Authentication Bypass by Capture-replay,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:287:VIEW ID:1003:ORDINAL:Primary::,1390,,
295,Improper Certificate Validation,Base,::NATURE:ChildOf:CWE ID:287:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:287:VIEW ID:1003:ORDINAL:Primary::NATURE:PeerOf:CWE ID:322:VIEW ID:1000::,287,,
301,Reflection Attack in an Authentication Protocol,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:327:VIEW ID:1000::,1390,,
303,Incorrect Implementation of Authentication Algorithm,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::,1390,,
305,Authentication Bypass by Primary Weakness,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::,1390,,
306,Missing Authentication for Critical Function,Base,::NATURE:ChildOf:CWE ID:287:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:287:VIEW ID:1003:ORDINAL:Primary::,287,,
307,Improper Restriction of Excessive Authentication Attempts,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:287:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:799:VIEW ID:1000::,1390,,
308,Use of Single-factor Authentication,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:654:VIEW ID:1000::NATURE:PeerOf:CWE ID:309:VIEW ID:1000::,1390,,
309,Use of Password System for Primary Authentication,Base,::NATURE:ChildOf:CWE ID:1390:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:654:VIEW ID:1000::NATURE:PeerOf:CWE ID:308:VIEW ID:1000::,1390,,
312,Cleartext Storage of Sensitive Information,Base,::NATURE:ChildOf:CWE ID:311:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:311:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:922:VIEW ID:1000::,311,,
319,Cleartext Transmission of Sensitive Information,Base,::NATURE:ChildOf:CWE ID:311:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:311:VIEW ID:1003:ORDINAL:Primary::,311,,
322,Key Exchange without Entity Authentication,Base,::NATURE:ChildOf:CWE ID:306:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:923:VIEW ID:1000::NATURE:PeerOf:CWE ID:295:VIEW ID:1000::,306,"No Help, or Langs Won't Help",
323,"Reusing a Nonce, Key Pair in Encryption",Base,::NATURE:ChildOf:CWE ID:344:VIEW ID:1000:ORDINAL:Primary::,344,Discouraged via Borrow Checker,
324,Use of a Key Past its Expiration Date,Base,::NATURE:ChildOf:CWE ID:672:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:298:VIEW ID:1000::,672,,
325,Missing Cryptographic Step,Base,::NATURE:ChildOf:CWE ID:573:VIEW ID:1000:ORDINAL:Primary::NATURE:PeerOf:CWE ID:358:VIEW ID:1000::,573,,
328,Use of Weak Hash,Base,::NATURE:ChildOf:CWE ID:326:VIEW ID:1000::NATURE:ChildOf:CWE ID:327:VIEW ID:1000:ORDINAL:Primary::,326,,
331,Insufficient Entropy,Base,::NATURE:ChildOf:CWE ID:330:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:330:VIEW ID:1003:ORDINAL:Primary::,330,,
334,Small Space of Random Values,Base,::NATURE:ChildOf:CWE ID:330:VIEW ID:1000:ORDINAL:Primary::,330,,
335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Base,::NATURE:ChildOf:CWE ID:330:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:330:VIEW ID:1003:ORDINAL:Primary::,330,,
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Base,::NATURE:ChildOf:CWE ID:330:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:330:VIEW ID:1003:ORDINAL:Primary::,330,,
341,Predictable from Observable State,Base,::NATURE:ChildOf:CWE ID:340:VIEW ID:1000:ORDINAL:Primary::,340,,
342,Predictable Exact Value from Previous Values,Base,::NATURE:ChildOf:CWE ID:340:VIEW ID:1000:ORDINAL:Primary::,340,,
343,Predictable Value Range from Previous Values,Base,::NATURE:ChildOf:CWE ID:340:VIEW ID:1000:ORDINAL:Primary::,340,,
344,Use of Invariant Value in Dynamically Changing Context,Base,::NATURE:ChildOf:CWE ID:330:VIEW ID:1000:ORDINAL:Primary::,330,,
346,Origin Validation Error,Class,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:345:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:284:VIEW ID:1000::,345,,
347,Improper Verification of Cryptographic Signature,Base,::NATURE:ChildOf:CWE ID:345:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:345:VIEW ID:1003:ORDINAL:Primary::,345,,
