github repo,cve vendor,cve product,cve ids
flarum/sticky,flarum,sticky,CVE-2021-21283
flatCore/flatCore-CMS,flatcore,flatcore-cms,CVE-2017-1000428 CVE-2017-7877 CVE-2017-7878 CVE-2017-7879 CVE-2017-8868 CVE-2021-3745 CVE-2021-39608 CVE-2021-39609 CVE-2021-40902 CVE-2021-41402 CVE-2021-41403 CVE-2021-42245
flatpak/flatpak,flatpak,flatpak,CVE-2017-9780 CVE-2018-6560 CVE-2019-10063 CVE-2019-8308 CVE-2021-21261 CVE-2021-21381 CVE-2021-41133 CVE-2021-43860 CVE-2022-21682
fleetdm/fleet,fleetdm,fleet,CVE-2020-26276 CVE-2021-21296 CVE-2022-23600 CVE-2022-24841
flitto/express-param,flitto,express-param,CVE-2017-20160
floriangaerber/Magnesium-PHP,floriangaerber,magnesium-php,CVE-2017-20187
flyspray/flyspray,flyspray,flyspray,CVE-2005-3334 CVE-2006-0714 CVE-2007-1788 CVE-2007-1789 CVE-2007-6461 CVE-2008-1165 CVE-2008-1166 CVE-2012-1058 CVE-2017-15213 CVE-2017-15214
FOGProject/fogproject,fogproject,fogproject,CVE-2021-32243
fontforge/fontforge,fontforge,fontforge,CVE-2017-11568 CVE-2017-11569 CVE-2017-11570 CVE-2017-11571 CVE-2017-11572 CVE-2017-11573 CVE-2017-11574 CVE-2017-11575 CVE-2017-11576 CVE-2017-11577 CVE-2017-17521 CVE-2019-15785 CVE-2020-25690 CVE-2020-5395 CVE-2020-5496
forkcms/forkcms,forkcms,forkcms,CVE-2012-1188 CVE-2012-1207 CVE-2012-1208 CVE-2012-1209 CVE-2012-5164 CVE-2014-9470 CVE-2015-1467 CVE-2018-17595 CVE-2018-20682 CVE-2018-5215 CVE-2019-15521 CVE-2020-13633 CVE-2020-23049 CVE-2020-23263 CVE-2020-23264 CVE-2020-23960 CVE-2020-24036 CVE-2021-28931 CVE-2022-0145 CVE-2022-0153 CVE-2022-1064
formspree/formspree,formspree,formspree,CVE-2018-6354
forthebadge/for-the-badge,forthebadge,for-the-badge,CVE-2021-4281
ForumHulp/searchresults,forumhulp,searchresults,CVE-2016-15013
foxcpp/maddy,foxcpp,maddy,CVE-2021-42583
frappe/erpnext,frappe,erpnext,CVE-2018-11339 CVE-2018-20061 CVE-2019-20511 CVE-2019-20514 CVE-2019-20515 CVE-2019-20516 CVE-2019-20517 CVE-2019-20518 CVE-2019-20519 CVE-2019-20520 CVE-2019-20521 CVE-2020-6145 CVE-2022-23055 CVE-2022-23056 CVE-2022-23057 CVE-2022-23058 CVE-2022-28598
frappe/frappe,frappe,frappe,CVE-2017-1000120 CVE-2019-14965 CVE-2019-14966 CVE-2019-14967 CVE-2019-15700 CVE-2019-20529 CVE-2020-27508 CVE-2020-35175
FreePBX/contactmanager,freepbx,contactmanager,CVE-2019-16966
FreePBX/manager,freepbx,manager,CVE-2019-16967
FreeRADIUS/pam_radius,freeradius,pam_radius,CVE-2015-9542
FreeRDP/FreeRDP,freerdp,freerdp,CVE-2013-4118 CVE-2013-4119 CVE-2014-0250 CVE-2014-0791 CVE-2017-2834 CVE-2017-2835 CVE-2017-2836 CVE-2017-2837 CVE-2017-2838 CVE-2017-2839 CVE-2018-1000852 CVE-2018-8784 CVE-2018-8785 CVE-2018-8786 CVE-2018-8787 CVE-2018-8788 CVE-2018-8789 CVE-2019-17177 CVE-2019-17178 CVE-2020-11017 CVE-2020-11018 CVE-2020-11019 CVE-2020-11038 CVE-2020-11039 CVE-2020-11040 CVE-2020-11041 CVE-2020-11042 CVE-2020-11043 CVE-2020-11044 CVE-2020-11045 CVE-2020-11046 CVE-2020-11047 CVE-2020-11048 CVE-2020-11049 CVE-2020-11058 CVE-2020-11085 CVE-2020-11086 CVE-2020-11087 CVE-2020-11088 CVE-2020-11089 CVE-2020-11095 CVE-2020-11096 CVE-2020-11097 CVE-2020-11098 CVE-2020-11099 CVE-2020-11521 CVE-2020-11522 CVE-2020-11523 CVE-2020-11524 CVE-2020-11525 CVE-2020-11526 CVE-2020-13396 CVE-2020-13397 CVE-2020-13398 CVE-2020-15103 CVE-2020-4030 CVE-2020-4031 CVE-2020-4032 CVE-2020-4033 CVE-2021-37594 CVE-2021-37595 CVE-2021-41159 CVE-2021-41160 CVE-2022-24882 CVE-2022-24883
FreshRSS/FreshRSS,freshrss,freshrss,CVE-2018-19782 CVE-2022-23497
friendica/friendica,friendica,friendica,CVE-2021-30141
froxlor/Froxlor,froxlor,froxlor,CVE-2015-5959 CVE-2016-5100 CVE-2018-1000527 CVE-2018-12642 CVE-2020-10235 CVE-2020-10236 CVE-2020-10237 CVE-2020-28957 CVE-2020-29653 CVE-2021-42325 CVE-2022-3017
FRRouting/frr,frrouting,frrouting,
fudforum/FUDforum,fudforum,fudforum,CVE-2013-2267 CVE-2013-5309 CVE-2019-18839 CVE-2019-18873 CVE-2021-27519 CVE-2021-27520 CVE-2022-28545
fusionpbx/fusionpbx,fusionpbx,fusionpbx,CVE-2019-11407 CVE-2019-11408 CVE-2019-11409 CVE-2019-11410 CVE-2019-15029 CVE-2019-16964 CVE-2019-16965 CVE-2019-16968 CVE-2019-16969 CVE-2019-16970 CVE-2019-16971 CVE-2019-16972 CVE-2019-16973 CVE-2019-16974 CVE-2019-16975 CVE-2019-16976 CVE-2019-16977 CVE-2019-16978 CVE-2019-16979 CVE-2019-16980 CVE-2019-16981 CVE-2019-16982 CVE-2019-16983 CVE-2019-16984 CVE-2019-16985 CVE-2019-16986 CVE-2019-16987 CVE-2019-16988 CVE-2019-16989 CVE-2019-16990 CVE-2019-16991 CVE-2019-19366 CVE-2019-19367 CVE-2019-19384 CVE-2019-19385 CVE-2019-19386 CVE-2019-19387 CVE-2019-19388 CVE-2020-21053 CVE-2020-21054 CVE-2020-21055 CVE-2020-21056 CVE-2020-21057 CVE-2021-37524 CVE-2021-43403 CVE-2021-43404 CVE-2021-43405 CVE-2021-43406 CVE-2022-28055
futurepress/epub.js,futurepress,epub.js,CVE-2021-33040
galaxyproject/galaxy,galaxyproject,galaxy,CVE-2015-10062 CVE-2018-1000516 CVE-2022-23470
galette/galette,galette,galette,CVE-2021-21319 CVE-2021-41260 CVE-2021-41261 CVE-2021-41262
ganglia/ganglia-web,ganglia,ganglia-web,CVE-2012-3448 CVE-2013-0275 CVE-2013-1770 CVE-2013-6395 CVE-2015-6816 CVE-2019-20378 CVE-2019-20379
gatsbyjs/gatsby,gatsbyjs,gatsby,CVE-2022-25863
gchq/CyberChef,gchq,cyberchef,CVE-2019-15532
genieacs/genieacs,genieacs,genieacs,CVE-2021-46704
GeniXCMS/GeniXCMS,genixcms,genixcms,CVE-2015-2678 CVE-2015-2679 CVE-2016-10096 CVE-2017-14231 CVE-2017-14740 CVE-2017-14761 CVE-2017-14762 CVE-2017-14763 CVE-2017-14764 CVE-2017-14765 CVE-2017-17431 CVE-2017-5346 CVE-2017-8376 CVE-2017-8377 CVE-2017-8388 CVE-2017-8762 CVE-2017-8780 CVE-2017-8827
geoserver/geoserver,geoserver,geoserver,CVE-2008-7227
geotools/geotools,geotools,geotools,CVE-2022-24818
Gerapy/Gerapy,gerapy,gerapy,CVE-2020-7698 CVE-2021-32849 CVE-2021-43857
getgrav/grav,getgrav,grav,CVE-2020-11529 CVE-2021-29440 CVE-2021-3818 CVE-2021-3904 CVE-2021-3924 CVE-2022-0268 CVE-2022-0743 CVE-2022-0970 CVE-2022-1173 CVE-2022-2073
getgrav/grav-plugin-admin,getgrav,grav-plugin-admin,CVE-2021-21425 CVE-2021-3799 CVE-2021-3920
getk2/k2,getk2,k2,CVE-2019-19576 CVE-2019-19634
getkirby/kirby,getkirby,kirby,CVE-2018-14519 CVE-2018-14520 CVE-2018-16623 CVE-2018-16624 CVE-2018-16627 CVE-2018-16628 CVE-2018-16630 CVE-2020-26253 CVE-2020-26255 CVE-2021-29460 CVE-2021-32735 CVE-2021-41252 CVE-2021-41258
GeyserMC/Geyser,geysermc,geyser,CVE-2021-39177
gin-gonic/gin,gin-gonic,gin,CVE-2020-28483 CVE-2020-36567
git-for-windows/git,git-for-windows,git,CVE-2018-11235 CVE-2021-46101
git/git,git,git,CVE-2006-0477 CVE-2008-3546 CVE-2008-5516 CVE-2008-5517 CVE-2008-5916 CVE-2009-2108 CVE-2010-3906 CVE-2020-5260 CVE-2022-25648
git/git,git,git,CVE-2006-0477 CVE-2008-3546 CVE-2008-5516 CVE-2008-5517 CVE-2008-5916 CVE-2009-2108 CVE-2010-3906 CVE-2020-5260 CVE-2022-25648
github/cmark-gfm,github,cmark-gfm,CVE-2022-24724
github/codeql-action,github,codeql-action,CVE-2021-32638
github/gh-ost,github,gh-ost,CVE-2022-21687
glidernet/ogn-live,glidernet,ogn-live,CVE-2015-10015
glpi-project/glpi,glpi-project,glpi,CVE-2011-2720 CVE-2012-1037 CVE-2012-4002 CVE-2012-4003 CVE-2013-2225 CVE-2013-2226 CVE-2013-2227 CVE-2013-5696 CVE-2014-5032 CVE-2014-8360 CVE-2014-9258 CVE-2015-7684 CVE-2015-7685 CVE-2016-7507 CVE-2016-7508 CVE-2016-7509 CVE-2017-11183 CVE-2017-11184 CVE-2017-11329 CVE-2017-11474 CVE-2017-11475 CVE-2018-13049 CVE-2018-7562 CVE-2018-7563 CVE-2019-1010307 CVE-2019-1010310 CVE-2019-10233 CVE-2019-10477 CVE-2019-13239 CVE-2019-13240 CVE-2019-14666 CVE-2020-11031 CVE-2020-11032 CVE-2020-11033 CVE-2020-11034 CVE-2020-11035 CVE-2020-11036 CVE-2020-11060 CVE-2020-11062 CVE-2020-15108 CVE-2020-15175 CVE-2020-15176 CVE-2020-15177 CVE-2020-15217 CVE-2020-15226 CVE-2020-26212 CVE-2020-27662 CVE-2020-27663 CVE-2020-5248 CVE-2021-21255 CVE-2021-21258 CVE-2021-21312 CVE-2021-21313 CVE-2021-21314 CVE-2021-21324 CVE-2021-21325 CVE-2021-21326 CVE-2021-21327 CVE-2021-3486 CVE-2021-39209 CVE-2021-39210 CVE-2021-39211 CVE-2021-39213 CVE-2021-44617 CVE-2022-21719 CVE-2022-21720 CVE-2022-24867 CVE-2022-24868 CVE-2022-24869 CVE-2022-24876 CVE-2022-29250
GNOME/evince,gnome,evince,CVE-2011-0433 CVE-2011-5244 CVE-2013-3718 CVE-2017-1000083 CVE-2017-1000159 CVE-2019-1010006 CVE-2019-11459
GNOME/gnome-font-viewer,gnome,gnome-font-viewer,CVE-2019-19308
GNOME/gnome-session,gnome,gnome-session,CVE-2017-11171
GNOME/gnome-shell,gnome,gnome-shell,CVE-2010-4000 CVE-2012-4427 CVE-2013-7220 CVE-2013-7221 CVE-2014-7300 CVE-2017-8288 CVE-2019-3820 CVE-2020-17489 CVE-2021-20315 CVE-2021-3982
GNOME/libgda,gnome,libgda,CVE-2021-39359
GNOME/libgsf,gnome,libgsf,CVE-2016-9888
GNOME/librsvg,gnome,librsvg,CVE-2011-3146 CVE-2013-1881 CVE-2015-7557 CVE-2015-7558 CVE-2016-4348 CVE-2016-6163 CVE-2017-11464 CVE-2018-1000041 CVE-2019-20446
GNOME/nautilus,gnome,nautilus,CVE-2017-12447 CVE-2017-14604 CVE-2019-11461
GNOME/pango,gnome,pango,CVE-2010-0421 CVE-2011-0020 CVE-2011-0064 CVE-2011-3193 CVE-2018-15120 CVE-2019-1010238
GNS3/ubridge,gns3,ubridge,CVE-2020-14976
gnuboard/gnuboard5,gnuboard,gnuboard5,CVE-2021-3831
go-macaron/csrf,go-macaron,csrf,CVE-2018-25060
go-macaron/i18n,go-macaron,i18n,CVE-2020-36627
goadesign/goa,goadesign,goa,CVE-2019-25073
goauthentik/authentik,goauthentik,authentik,CVE-2022-23555
godaddy/node-config-shield,godaddy,node-config-shield,CVE-2021-26276
godotengine/godot,godotengine,godot,CVE-2018-1000224 CVE-2019-10069
godotengine/godot,godotengine,godot,CVE-2018-1000224 CVE-2019-10069
gofiber/fiber,gofiber,fiber,CVE-2020-15111
gogs/gogs,gogs,gogs,CVE-2018-15178 CVE-2018-15192 CVE-2018-15193 CVE-2018-16409 CVE-2018-17031 CVE-2018-18925 CVE-2018-20303 CVE-2019-14544 CVE-2020-14958 CVE-2020-15867 CVE-2020-9329 CVE-2021-32546 CVE-2022-0415 CVE-2022-0870 CVE-2022-0871 CVE-2022-1285 CVE-2022-1464 CVE-2022-1884 CVE-2022-1986 CVE-2022-1992 CVE-2022-1993 CVE-2022-2024
golang/crypto,golang,crypto,CVE-2017-3204 CVE-2019-11840 CVE-2019-11841
golang/go,golang,go,CVE-2012-2666 CVE-2014-7189 CVE-2015-5739 CVE-2015-5740 CVE-2015-5741 CVE-2015-8618 CVE-2016-3958 CVE-2016-3959 CVE-2016-5386 CVE-2017-1000097 CVE-2017-1000098 CVE-2017-15041 CVE-2017-15042 CVE-2017-8932 CVE-2018-16873 CVE-2018-16874 CVE-2018-16875 CVE-2018-6574 CVE-2018-7187 CVE-2019-11888 CVE-2019-14809 CVE-2019-16276 CVE-2019-17596 CVE-2019-6486 CVE-2019-9634 CVE-2019-9741 CVE-2020-0601 CVE-2020-14039 CVE-2020-15586 CVE-2020-16845 CVE-2020-24553 CVE-2020-28362 CVE-2020-28366 CVE-2020-28367 CVE-2020-28851 CVE-2020-29509 CVE-2020-29510 CVE-2020-29511 CVE-2020-7919 CVE-2021-23772 CVE-2021-27918 CVE-2021-27919 CVE-2021-29923 CVE-2021-3114 CVE-2021-3115 CVE-2021-31525 CVE-2021-33194 CVE-2021-33195 CVE-2021-33196 CVE-2021-33197 CVE-2021-33198 CVE-2021-34558 CVE-2021-36221 CVE-2021-38297 CVE-2021-39293 CVE-2021-41771 CVE-2021-41772 CVE-2021-44716 CVE-2021-44717 CVE-2022-1705 CVE-2022-1962 CVE-2022-23772 CVE-2022-23773 CVE-2022-23806 CVE-2022-24675 CVE-2022-24921 CVE-2022-27536 CVE-2022-27664 CVE-2022-28131 CVE-2022-28327 CVE-2022-2879 CVE-2022-2880 CVE-2022-29526 CVE-2022-29804 CVE-2022-30580 CVE-2022-30629 CVE-2022-30630 CVE-2022-30631 CVE-2022-30632 CVE-2022-30633 CVE-2022-30634 CVE-2022-30635
golang/go,golang,go,CVE-2012-2666 CVE-2014-7189 CVE-2015-5739 CVE-2015-5740 CVE-2015-5741 CVE-2015-8618 CVE-2016-3958 CVE-2016-3959 CVE-2016-5386 CVE-2017-1000097 CVE-2017-1000098 CVE-2017-15041 CVE-2017-15042 CVE-2017-8932 CVE-2018-16873 CVE-2018-16874 CVE-2018-16875 CVE-2018-6574 CVE-2018-7187 CVE-2019-11888 CVE-2019-14809 CVE-2019-16276 CVE-2019-17596 CVE-2019-6486 CVE-2019-9634 CVE-2019-9741 CVE-2020-0601 CVE-2020-14039 CVE-2020-15586 CVE-2020-16845 CVE-2020-24553 CVE-2020-28362 CVE-2020-28366 CVE-2020-28367 CVE-2020-28851 CVE-2020-29509 CVE-2020-29510 CVE-2020-29511 CVE-2020-7919 CVE-2021-23772 CVE-2021-27918 CVE-2021-27919 CVE-2021-29923 CVE-2021-3114 CVE-2021-3115 CVE-2021-31525 CVE-2021-33194 CVE-2021-33195 CVE-2021-33196 CVE-2021-33197 CVE-2021-33198 CVE-2021-34558 CVE-2021-36221 CVE-2021-38297 CVE-2021-39293 CVE-2021-41771 CVE-2021-41772 CVE-2021-44716 CVE-2021-44717 CVE-2022-1705 CVE-2022-1962 CVE-2022-23772 CVE-2022-23773 CVE-2022-23806 CVE-2022-24675 CVE-2022-24921 CVE-2022-27536 CVE-2022-27664 CVE-2022-28131 CVE-2022-28327 CVE-2022-2879 CVE-2022-2880 CVE-2022-29526 CVE-2022-29804 CVE-2022-30580 CVE-2022-30629 CVE-2022-30630 CVE-2022-30631 CVE-2022-30632 CVE-2022-30633 CVE-2022-30634 CVE-2022-30635
golang/net,golang,net,CVE-2018-17075 CVE-2018-17142 CVE-2018-17143 CVE-2018-17846 CVE-2018-17847 CVE-2018-17848
google/asylo,google,asylo,CVE-2020-8904 CVE-2020-8905 CVE-2020-8935 CVE-2020-8936 CVE-2020-8937 CVE-2020-8938 CVE-2020-8939 CVE-2020-8940 CVE-2020-8941 CVE-2020-8942 CVE-2020-8943 CVE-2020-8944 CVE-2021-22548 CVE-2021-22549 CVE-2021-22550 CVE-2021-22552
google/closure-library,google,closure-library,CVE-2020-8910
google/exposure-notifications-verification-server,google,exposure-notifications-verification-server,CVE-2021-22538
google/fscrypt,google,fscrypt,CVE-2018-6558 CVE-2022-25326 CVE-2022-25327 CVE-2022-25328
google/guava,google,guava,CVE-2018-10237 CVE-2020-8908
google/gvisor,google,gvisor,CVE-2018-16359 CVE-2018-19333 CVE-2018-20168
google/voice-builder,google,voice-builder,CVE-2019-1010200
gopro/gpmf-parser,gopro,gpmf-parser,CVE-2018-13007 CVE-2018-13008 CVE-2018-13009 CVE-2018-13011 CVE-2018-13026 CVE-2018-18190 CVE-2018-18699 CVE-2019-15146 CVE-2019-15147 CVE-2019-15148 CVE-2019-20086 CVE-2019-20087 CVE-2019-20088 CVE-2019-20089 CVE-2020-16158 CVE-2020-16159 CVE-2020-16160 CVE-2020-16161
gpac/gpac,gpac,gpac,CVE-2018-13005 CVE-2018-13006 CVE-2018-20760 CVE-2018-21015 CVE-2018-21016 CVE-2018-21017 CVE-2018-7752 CVE-2019-11221 CVE-2019-11222 CVE-2019-12481 CVE-2019-12482 CVE-2019-12483 CVE-2019-13618 CVE-2019-20159 CVE-2019-20160 CVE-2019-20161 CVE-2019-20162 CVE-2019-20163 CVE-2019-20164 CVE-2019-20165 CVE-2019-20166 CVE-2019-20167 CVE-2019-20168 CVE-2019-20169 CVE-2019-20170 CVE-2019-20171 CVE-2019-20208 CVE-2019-20628 CVE-2019-20629 CVE-2019-20630 CVE-2019-20631 CVE-2019-20632 CVE-2020-11558 CVE-2020-19481 CVE-2020-19488 CVE-2020-19750 CVE-2020-19751 CVE-2020-22352 CVE-2020-22673 CVE-2020-22674 CVE-2020-22675 CVE-2020-22677 CVE-2020-22678 CVE-2020-22679 CVE-2020-23266 CVE-2020-23267 CVE-2020-23269 CVE-2020-23928 CVE-2020-23930 CVE-2020-23931 CVE-2020-23932 CVE-2020-24829 CVE-2020-25427 CVE-2020-35979 CVE-2020-35980 CVE-2020-35981 CVE-2020-35982 CVE-2020-6630 CVE-2020-6631 CVE-2021-21834 CVE-2021-21835 CVE-2021-21836 CVE-2021-21837 CVE-2021-21838 CVE-2021-21839 CVE-2021-21840 CVE-2021-21841 CVE-2021-21842 CVE-2021-21843 CVE-2021-21844 CVE-2021-21845 CVE-2021-21846 CVE-2021-21847 CVE-2021-21848 CVE-2021-21849 CVE-2021-21850 CVE-2021-21851 CVE-2021-21852 CVE-2021-21853 CVE-2021-21854 CVE-2021-21855 CVE-2021-21856 CVE-2021-21857 CVE-2021-21858 CVE-2021-21859 CVE-2021-21860 CVE-2021-21861 CVE-2021-21862 CVE-2021-28300 CVE-2021-29279 CVE-2021-30014 CVE-2021-30015 CVE-2021-30019 CVE-2021-30020 CVE-2021-30022 CVE-2021-30199 CVE-2021-31254 CVE-2021-31255 CVE-2021-31256 CVE-2021-31257 CVE-2021-31258 CVE-2021-31259 CVE-2021-31260 CVE-2021-31261 CVE-2021-31262 CVE-2021-32132 CVE-2021-32134 CVE-2021-32135 CVE-2021-32136 CVE-2021-32137 CVE-2021-32138 CVE-2021-32139 CVE-2021-32268 CVE-2021-32269 CVE-2021-32270 CVE-2021-32271 CVE-2021-32437 CVE-2021-32438 CVE-2021-32439 CVE-2021-32440 CVE-2021-33361 CVE-2021-33362 CVE-2021-33363 CVE-2021-33364 CVE-2021-33365 CVE-2021-33366 CVE-2021-36412 CVE-2021-36414 CVE-2021-36417 CVE-2021-36584 CVE-2021-4043 CVE-2021-40559 CVE-2021-40562 CVE-2021-40563 CVE-2021-40564 CVE-2021-40565 CVE-2021-40566 CVE-2021-40567 CVE-2021-40568 CVE-2021-40569 CVE-2021-40570 CVE-2021-40571 CVE-2021-40572 CVE-2021-40573 CVE-2021-40574 CVE-2021-40575 CVE-2021-40576 CVE-2021-40592 CVE-2021-40606 CVE-2021-40607 CVE-2021-40608 CVE-2021-40609 CVE-2021-40942 CVE-2021-40944 CVE-2021-44918 CVE-2021-44919 CVE-2021-44920 CVE-2021-44921 CVE-2021-44922 CVE-2021-44923 CVE-2021-44924 CVE-2021-44925 CVE-2021-44926 CVE-2021-44927 CVE-2021-45258 CVE-2021-45259 CVE-2021-45260 CVE-2021-45262 CVE-2021-45263 CVE-2021-45266 CVE-2021-45267 CVE-2021-45288 CVE-2021-45289 CVE-2021-45291 CVE-2021-45292 CVE-2021-45297 CVE-2021-45760 CVE-2021-45762 CVE-2021-45763 CVE-2021-45764 CVE-2021-45767 CVE-2021-45831 CVE-2021-46038 CVE-2021-46039 CVE-2021-46040 CVE-2021-46041 CVE-2021-46042 CVE-2021-46043 CVE-2021-46044 CVE-2021-46045 CVE-2021-46046 CVE-2021-46047 CVE-2021-46049 CVE-2021-46051 CVE-2021-46234 CVE-2021-46236 CVE-2021-46237 CVE-2021-46238 CVE-2021-46239 CVE-2021-46240 CVE-2021-46311 CVE-2021-46313 CVE-2022-1035 CVE-2022-1172 CVE-2022-1222 CVE-2022-1441 CVE-2022-1795 CVE-2022-24249 CVE-2022-2453 CVE-2022-2454 CVE-2022-24574 CVE-2022-24575 CVE-2022-24576 CVE-2022-24577 CVE-2022-24578 CVE-2022-2549 CVE-2022-26967 CVE-2022-27145 CVE-2022-27146 CVE-2022-27147 CVE-2022-27148 CVE-2022-29339 CVE-2022-29340 CVE-2022-29537
gradle/gradle,gradle,gradle,CVE-2016-6199 CVE-2019-11065 CVE-2019-15052 CVE-2019-16370 CVE-2020-11979 CVE-2021-29427 CVE-2021-29428 CVE-2021-29429 CVE-2021-32751 CVE-2021-41584 CVE-2021-41586 CVE-2021-41587 CVE-2021-41588 CVE-2022-23630 CVE-2022-30586
grafana/agent,grafana,agent,CVE-2021-41090
grafana/grafana,grafana,grafana,CVE-2018-1000816 CVE-2018-12099 CVE-2018-15727 CVE-2018-18623 CVE-2018-18624 CVE-2018-18625 CVE-2018-19039 CVE-2019-13068 CVE-2019-15043 CVE-2019-15635 CVE-2019-19499 CVE-2020-11110 CVE-2020-12052 CVE-2020-12245 CVE-2020-12458 CVE-2020-12459 CVE-2020-13379 CVE-2020-13430 CVE-2020-24303 CVE-2020-27846 CVE-2021-27358 CVE-2021-27962 CVE-2021-28146 CVE-2021-28147 CVE-2021-28148 CVE-2021-39226 CVE-2021-41174 CVE-2021-41244 CVE-2021-43798 CVE-2021-43813 CVE-2021-43815 CVE-2022-21673 CVE-2022-21702 CVE-2022-21703 CVE-2022-21713 CVE-2022-23498 CVE-2022-23552 CVE-2022-24812 CVE-2022-26148 CVE-2022-28660 CVE-2022-29170
GrapesJS/grapesjs,grapesjs,grapesjs,CVE-2022-21802
graphhopper/graphhopper,graphhopper,graphhopper,CVE-2021-23408 CVE-2021-29506
graphpaperpress/Sell-Media,graphpaperpress,sell-media,CVE-2019-6112 CVE-2021-4420
graphql/graphiql,graphql,graphiql,CVE-2021-41248
gravitl/netmaker,gravitl,netmaker,CVE-2022-0664 CVE-2022-23650
grocy/grocy,grocy,grocy,CVE-2020-15253
grpc/grpc,grpc,grpc,CVE-2017-7860 CVE-2017-7861 CVE-2017-8359 CVE-2017-9431 CVE-2020-7768
grpc/grpc,grpc,grpc,CVE-2017-7860 CVE-2017-7861 CVE-2017-8359 CVE-2017-9431 CVE-2020-7768
gruntjs/grunt,gruntjs,grunt,CVE-2020-7729 CVE-2022-0436 CVE-2022-1537
gturri/aXMLRPC,gturri,axmlrpc,CVE-2020-36641
gulpjs/glob-parent,gulpjs,glob-parent,CVE-2020-28469 CVE-2021-35065
gunet/openeclass,gunet,openeclassplatform,
haml/haml,haml,haml,CVE-2017-1002201
hapijs/hapi,hapijs,hapi,CVE-2015-9236 CVE-2015-9241 CVE-2015-9243 CVE-2017-16013
hapijs/hoek,hapijs,hoek,CVE-2018-3728 CVE-2020-36604
hapijs/nes,hapijs,nes,CVE-2017-16025
haproxy/haproxy,haproxy,haproxy,CVE-2012-2942 CVE-2013-1912 CVE-2013-2175 CVE-2014-6269 CVE-2015-3281 CVE-2016-2102 CVE-2016-5360 CVE-2018-10184 CVE-2018-11469 CVE-2018-14645 CVE-2018-20102 CVE-2018-20103 CVE-2018-20615 CVE-2019-11323 CVE-2019-14241 CVE-2019-18277 CVE-2019-19330 CVE-2020-11100 CVE-2021-39240 CVE-2021-39241 CVE-2021-39242 CVE-2021-40346 CVE-2022-0711
hashicorp/go-getter,hashicorp,go-getter,CVE-2022-26945 CVE-2022-29810 CVE-2022-30321 CVE-2022-30322 CVE-2022-30323
hasura/graphql-engine,hasura,graphql-engine,CVE-2019-1020015
hasura/graphql-engine,hasura,graphql-engine,CVE-2019-1020015
hazelcast/hazelcast,hazelcast,hazelcast,CVE-2016-10750 CVE-2020-26168 CVE-2022-0265
heartcombo/devise,heartcombo,devise,CVE-2015-8314
hedgedoc/hedgedoc,hedgedoc,hedgedoc,CVE-2020-26286 CVE-2020-26287 CVE-2021-21259 CVE-2021-29474 CVE-2021-29475 CVE-2021-29503 CVE-2021-39175 CVE-2022-24837
heimdal/heimdal,heimdal,heimdal,CVE-2006-3083 CVE-2006-3084 CVE-2007-5939
helm/helm,helm,helm,CVE-2019-1000008 CVE-2019-1010275 CVE-2019-18658 CVE-2019-25210 CVE-2020-11013 CVE-2020-15184 CVE-2020-15185 CVE-2020-15186 CVE-2020-15187 CVE-2020-4053 CVE-2021-21303 CVE-2021-32690 CVE-2022-23524 CVE-2022-23525 CVE-2022-23526
helpyio/helpy,helpyio,helpy,CVE-2018-18886 CVE-2018-20851
heroiclabs/nakama,heroiclabs,nakama,CVE-2022-2306 CVE-2022-2321
hestiacp/hestiacp,hestiacp,hestiacp,CVE-2021-30070
highcharts/highcharts,highcharts,highcharts,CVE-2018-20801 CVE-2021-29489
highlightjs/highlight.js,highlightjs,highlight.js,CVE-2020-26237
hoppscotch/hoppscotch,hoppscotch,hoppscotch,CVE-2022-0121
horde/gollem,horde,gollem,CVE-2010-3447 CVE-2020-8034
horde/horde,horde,horde,CVE-2000-0910 CVE-2002-0181 CVE-2003-0728 CVE-2005-0378 CVE-2005-3344 CVE-2005-3570 CVE-2005-3759 CVE-2006-1260 CVE-2006-2195 CVE-2006-3548 CVE-2006-4255 CVE-2007-6018 CVE-2008-1284 CVE-2008-3823 CVE-2008-3824 CVE-2008-7218 CVE-2010-1638 CVE-2012-0209
horde/kronolith,horde,kronolith,CVE-2005-1314 CVE-2006-6175 CVE-2008-2783
horde/Mime_Viewer,horde,hordemimeviewer,
horms/perdition,horms,perdition,CVE-2013-4584
horovod/horovod,horovod,horovod,CVE-2022-0315
HotaruCMS/HotaruCMS,hotarucms,hotarucms,CVE-2019-17522
HtmlUnit/htmlunit,htmlunit,htmlunit,CVE-2020-5529 CVE-2022-28366 CVE-2022-29546
HubSpot/jinjava,hubspot,jinjava,CVE-2018-18893 CVE-2020-12668
humhub/humhub,humhub,humhub,CVE-2014-9528 CVE-2016-1229 CVE-2017-20026 CVE-2017-20027 CVE-2017-20028 CVE-2019-11564 CVE-2019-9093 CVE-2019-9094 CVE-2021-43847 CVE-2022-24865
icecoder/ICEcoder,icecoder,icecoder,CVE-2021-32106 CVE-2021-3862
Icinga/icingaweb2,icinga,icingaweb2,CVE-2018-18246 CVE-2018-18247 CVE-2018-18248 CVE-2018-18249 CVE-2018-18250 CVE-2020-24368 CVE-2022-24714 CVE-2022-24715 CVE-2022-24716
IdentityServer/IdentityServer4,identityserver,identityserver4,CVE-2018-8899 CVE-2019-12250
