github repo,cve vendor,cve product,cve ids
apache/subversion,apache,subversion,CVE-2004-0179 CVE-2010-3315 CVE-2010-4539 CVE-2010-4644 CVE-2011-0715 CVE-2011-1752 CVE-2011-1783 CVE-2011-1921 CVE-2013-1845 CVE-2013-1846 CVE-2013-1847 CVE-2013-1849 CVE-2013-1884 CVE-2013-1968 CVE-2013-2088 CVE-2013-2112 CVE-2013-4131 CVE-2013-4246 CVE-2013-4262 CVE-2013-4277 CVE-2013-4505 CVE-2013-4558 CVE-2013-7393 CVE-2014-0032 CVE-2014-3504 CVE-2014-3522 CVE-2014-3528 CVE-2014-3580 CVE-2014-8108 CVE-2015-0202 CVE-2015-0248 CVE-2015-0251 CVE-2015-3184 CVE-2015-3187 CVE-2015-5259 CVE-2015-5343 CVE-2016-2167 CVE-2016-2168 CVE-2016-8734 CVE-2017-9800 CVE-2018-11782 CVE-2018-11803 CVE-2019-0203 CVE-2020-17525 CVE-2021-28544 CVE-2022-24070
apache/vcl,apache,vcl,CVE-2013-0267
apereo/java-cas-client,apereo,java-cas-client,CVE-2014-4172
api-platform/core,api-platform,core,CVE-2019-1000011
apostrophecms/apostrophe,apostrophecms,apostrophecms,
apostrophecms/sanitize-html,apostrophecms,sanitize-html,CVE-2014-125128 CVE-2016-1000237 CVE-2019-25225 CVE-2021-26539 CVE-2021-26540 CVE-2022-25887
apple/cups,apple,cups,CVE-2002-1372 CVE-2004-2154 CVE-2007-3387 CVE-2007-4045 CVE-2008-0053 CVE-2008-1033 CVE-2008-1374 CVE-2008-3639 CVE-2008-3640 CVE-2008-3641 CVE-2008-5183 CVE-2008-5184 CVE-2008-5286 CVE-2008-5377 CVE-2009-0032 CVE-2009-0146 CVE-2009-0147 CVE-2009-0163 CVE-2009-0164 CVE-2009-0166 CVE-2009-0195 CVE-2009-0577 CVE-2009-0791 CVE-2009-0799 CVE-2009-0800 CVE-2009-0949 CVE-2009-1179 CVE-2009-1180 CVE-2009-1181 CVE-2009-1182 CVE-2009-1183 CVE-2009-1196 CVE-2009-3553 CVE-2010-0302 CVE-2010-0393 CVE-2010-0542 CVE-2010-1748 CVE-2010-2431 CVE-2010-2432 CVE-2010-2941 CVE-2010-3702 CVE-2011-2896 CVE-2011-3170 CVE-2012-5519 CVE-2012-6094 CVE-2013-6891 CVE-2014-2856 CVE-2014-3537 CVE-2014-5029 CVE-2014-5030 CVE-2014-5031 CVE-2014-9679 CVE-2017-18190 CVE-2017-18248 CVE-2018-4300 CVE-2022-26691
appwrite/appwrite,appwrite,appwrite,CVE-2021-23682 CVE-2022-25377 CVE-2022-2925
arangodb/arangodb,arangodb,arangodb,CVE-2021-25938 CVE-2021-25939 CVE-2021-25940
area17/twill,area17,twill,CVE-2021-3932
argoproj/argo-cd,argoproj,argo-cd,CVE-2018-21034 CVE-2020-11576 CVE-2020-8826 CVE-2020-8827 CVE-2020-8828 CVE-2021-23135 CVE-2021-23347 CVE-2021-26921 CVE-2021-26923 CVE-2021-26924 CVE-2021-3557 CVE-2022-1025 CVE-2022-24348 CVE-2022-24730 CVE-2022-24731 CVE-2022-24768 CVE-2022-24904 CVE-2022-24905 CVE-2022-29165
arrow-kt/arrow,arrow-kt,arrow,CVE-2019-11404
assimp/assimp,assimp,assimp,CVE-2021-45948
asterisk/asterisk,asterisk,asterisk,CVE-2007-1561 CVE-2007-1594 CVE-2007-1595 CVE-2007-2293 CVE-2007-2294 CVE-2007-2297 CVE-2007-2488 CVE-2007-3762 CVE-2007-3763 CVE-2007-3764 CVE-2007-3765 CVE-2007-4280 CVE-2007-4455 CVE-2007-4521 CVE-2008-1332 CVE-2008-1390 CVE-2008-3263 CVE-2009-2346 CVE-2010-0441
atheme/atheme,atheme,atheme,CVE-2012-1576 CVE-2014-9773 CVE-2016-4478 CVE-2017-6384 CVE-2022-24976
atutor/ATutor,atutor,atutor,CVE-2008-0828 CVE-2008-3368 CVE-2010-0971 CVE-2011-3706 CVE-2012-6528 CVE-2014-2091 CVE-2014-9752 CVE-2014-9753 CVE-2015-1583 CVE-2015-6521 CVE-2015-7711 CVE-2015-7712 CVE-2016-10400 CVE-2016-2539 CVE-2016-2555 CVE-2017-1000002 CVE-2017-1000003 CVE-2017-1000004 CVE-2017-14981 CVE-2017-6483 CVE-2019-11446 CVE-2019-12169 CVE-2019-12170 CVE-2019-16114 CVE-2019-7172 CVE-2020-23341 CVE-2021-43498
auracms/AuraCMS,auracms,auracms,CVE-2007-4804 CVE-2007-4886 CVE-2007-4905 CVE-2007-4908 CVE-2007-6552 CVE-2008-0390 CVE-2008-0735 CVE-2008-0811 CVE-2008-1398 CVE-2008-1715 CVE-2008-3203 CVE-2010-4774 CVE-2014-1401 CVE-2014-3974 CVE-2014-3975 CVE-2018-15199 CVE-2018-16338
auth0/auth0.js,auth0,auth0.js,CVE-2017-17068 CVE-2018-6873 CVE-2018-6874 CVE-2018-7307 CVE-2020-15125 CVE-2020-5263
auth0/express-jwt,auth0,express-jwt,CVE-2020-15084
auth0/express-openid-connect,auth0,express-openid-connect,CVE-2021-41246 CVE-2022-24794
auth0/lock,auth0,lock,CVE-2019-20174 CVE-2020-15119 CVE-2021-32641 CVE-2022-29172
auth0/nextjs-auth0,auth0,nextjs-auth0,CVE-2021-32702 CVE-2021-43812
auth0/omniauth-auth0,auth0,omniauth-auth0,CVE-2020-15240
authelia/authelia,authelia,authelia,CVE-2021-29456 CVE-2021-32637
authzed/spicedb,authzed,spicedb,CVE-2022-21646
Automattic/Genericons,automattic,genericons,CVE-2015-3429
avast/retdec,avast,retdec,CVE-2020-23907
axios/axios,axios,axios,CVE-2019-10742 CVE-2020-28168 CVE-2021-3749
b2evolution/b2evolution,b2evolution,b2evolution,CVE-2006-6197 CVE-2006-6417 CVE-2007-0175 CVE-2007-2358 CVE-2007-2681 CVE-2009-1657 CVE-2011-3709 CVE-2012-5910 CVE-2012-5911 CVE-2013-2945 CVE-2013-7352 CVE-2014-9599 CVE-2016-7149 CVE-2016-7150 CVE-2016-8901 CVE-2016-9479 CVE-2017-1000423 CVE-2017-5480 CVE-2017-5494 CVE-2017-5539 CVE-2017-5553 CVE-2020-22840 CVE-2020-22841 CVE-2021-28242
Backblaze/B2_Command_Line_Tool,backblaze,b2_command_line_tool,CVE-2022-23653
bareos/bareos,bareos,bareos,CVE-2017-14610 CVE-2020-11061 CVE-2020-4042 CVE-2022-24755 CVE-2022-24756
Bcfg2/bcfg2,bcfg2,bcfg2,CVE-2011-3211
beanshell/beanshell,beanshell,beanshell,CVE-2016-2510
beego/beego,beego,beego,CVE-2019-16354 CVE-2019-16355 CVE-2021-27116 CVE-2021-27117 CVE-2021-30080 CVE-2021-39391
bestpractical/rt,bestpractical,rt,CVE-2008-3502 CVE-2009-3585 CVE-2009-3892 CVE-2009-4151 CVE-2011-0009 CVE-2011-1007 CVE-2011-1008 CVE-2011-1685 CVE-2011-1686 CVE-2011-1687 CVE-2011-1688 CVE-2011-1689 CVE-2011-1690 CVE-2011-2082 CVE-2011-2083 CVE-2011-2084 CVE-2011-2085 CVE-2011-4458 CVE-2011-4459 CVE-2011-4460 CVE-2011-5092 CVE-2011-5093 CVE-2012-2769 CVE-2012-2770 CVE-2012-4730 CVE-2012-4732 CVE-2012-4733 CVE-2012-4734 CVE-2012-4884 CVE-2013-3368 CVE-2013-3369 CVE-2013-3370 CVE-2013-3371 CVE-2013-3372 CVE-2013-3373 CVE-2013-3374 CVE-2013-5587 CVE-2014-1474
bigbluebutton/bigbluebutton,bigbluebutton,bigbluebutton,CVE-2020-12112 CVE-2020-12113 CVE-2020-12443 CVE-2020-25820 CVE-2020-27601 CVE-2020-27602 CVE-2020-27603 CVE-2020-27604 CVE-2020-27605 CVE-2020-27606 CVE-2020-27607 CVE-2020-27608 CVE-2020-27609 CVE-2020-27610 CVE-2020-27611 CVE-2020-27612 CVE-2020-27613 CVE-2020-28953 CVE-2020-28954 CVE-2020-29042 CVE-2020-29043 CVE-2021-4143 CVE-2022-23488 CVE-2022-23490 CVE-2022-27238 CVE-2022-29169 CVE-2022-29232 CVE-2022-29233 CVE-2022-29234 CVE-2022-29235 CVE-2022-29236
bigbluebutton/greenlight,bigbluebutton,greenlight,CVE-2020-26163 CVE-2020-27642 CVE-2022-26497
bigtreecms/BigTree-CMS,bigtreecms,bigtree-cms,CVE-2013-4879 CVE-2013-4880 CVE-2013-4881 CVE-2013-5313 CVE-2016-10223 CVE-2017-11736 CVE-2017-16961 CVE-2017-6914 CVE-2017-6915 CVE-2017-6916 CVE-2017-6917 CVE-2017-6918 CVE-2017-7695 CVE-2017-7881 CVE-2017-9364 CVE-2017-9365 CVE-2017-9378 CVE-2017-9379 CVE-2017-9427 CVE-2017-9428 CVE-2017-9441 CVE-2017-9442 CVE-2017-9443 CVE-2017-9444 CVE-2017-9448 CVE-2017-9449 CVE-2017-9546 CVE-2017-9547 CVE-2017-9548 CVE-2018-1000521 CVE-2018-10183 CVE-2018-10364 CVE-2018-10574 CVE-2018-17030 CVE-2018-17341 CVE-2018-18308 CVE-2018-18380 CVE-2018-6013 CVE-2020-18467 CVE-2020-26668 CVE-2020-26669 CVE-2020-26670
